time,direction,vehicle
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,truck
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,truck
2025-09-25 17:17:35,North,bus
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,truck
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:35,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,truck
2025-09-25 17:17:36,North,bus
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,truck
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
2025-09-25 17:17:36,North,car
